ordnum,orddetid,custcode,name,Ship to,descr,count size,Condition,variety,Sizes,Label,Order Status,Sum of pallets,Sum of qty,shpDate,deldate,dp,todp,Pallet
2024409,861781,LIDLVA,LIDL US FREDERICKSBURG DC,LIDL US FREDERICKSBURG DC,Blueberries,DRYPINTX12,.,.,.,ALP,Open,0.5,72,4/29/2025 0:00,4/30/2025 0:00,4,1538,0.5
2024410,861793,LIDLNC,LIDL US GRAHAM DC,LIDL US GRAHAM DC,Blueberries,18OZX12,.,.,.,ALP,Open,3,300,4/29/2025 0:00,4/30/2025 0:00,4,1530,3
2024410,861792,LIDLNC,LIDL US GRAHAM DC,LIDL US GRAHAM DC,Blueberries,DRYPINTX12,.,.,.,ALP,Open,0.5,72,4/29/2025 0:00,4/30/2025 0:00,4,1530,0.5
2024411,861795,LIDLPE,LIDL PERRYVILLE,LIDL PERRYVILLE,Blueberries,18OZX12,.,.,.,ALP,Open,2,200,4/29/2025 0:00,5/1/2025 0:00,17,1533,2
2024411,861794,LIDLPE,LIDL PERRYVILLE,LIDL PERRYVILLE,Blueberries,DRYPINTX12,.,.,.,ALP,Open,2.5,360,4/29/2025 0:00,5/1/2025 0:00,17,1533,2.5
2024412,861797,LIDLVA,LIDL US FREDERICKSBURG DC,LIDL US FREDERICKSBURG DC,Blueberries,18OZX12,.,.,.,ALP,Open,3,300,4/29/2025 0:00,5/1/2025 0:00,17,1538,3
2024412,861796,LIDLVA,LIDL US FREDERICKSBURG DC,LIDL US FREDERICKSBURG DC,Blueberries,DRYPINTX12,.,.,.,ALP,Open,2,288,4/29/2025 0:00,5/1/2025 0:00,17,1538,2
2024413,861799,LIDLNC,LIDL US GRAHAM DC,LIDL US GRAHAM DC,Blueberries,18OZX12,.,.,.,ALP,Open,2,200,4/29/2025 0:00,5/1/2025 0:00,17,1530,2
2024413,861798,LIDLNC,LIDL US GRAHAM DC,LIDL US GRAHAM DC,Blueberries,DRYPINTX12,.,.,.,ALP,Open,1,144,4/29/2025 0:00,5/1/2025 0:00,17,1530,1
2024414,861952,PRO*AC,PRO*ACT,PRO*ACT,Blueberries,6OZX12,.,.,.,ALP,Open,,480,4/28/2025 0:00,4/28/2025 0:00,17,1647,2
2024415,861801,LIDLPE,LIDL PERRYVILLE,LIDL PERRYVILLE,Blueberries,18OZX12,.,.,.,ALP,Open,3,300,5/1/2025 0:00,5/3/2025 0:00,17,1533,3
2024415,861800,LIDLPE,LIDL PERRYVILLE,LIDL PERRYVILLE,Blueberries,DRYPINTX12,.,.,.,ALP,Open,2,288,5/1/2025 0:00,5/3/2025 0:00,17,1533,2
2024416,861803,LIDLVA,LIDL US FREDERICKSBURG DC,LIDL US FREDERICKSBURG DC,Blueberries,18OZX12,.,.,.,ALP,Open,2,200,5/1/2025 0:00,5/3/2025 0:00,17,1538,2
2024416,861802,LIDLVA,LIDL US FREDERICKSBURG DC,LIDL US FREDERICKSBURG DC,Blueberries,DRYPINTX12,.,.,.,ALP,Open,1.5,216,5/1/2025 0:00,5/3/2025 0:00,17,1538,1.5
2024417,861805,LIDLNC,LIDL US GRAHAM DC,LIDL US GRAHAM DC,Blueberries,18OZX12,.,.,.,ALP,Open,1,100,5/1/2025 0:00,5/3/2025 0:00,17,1530,1
2024417,861804,LIDLNC,LIDL US GRAHAM DC,LIDL US GRAHAM DC,Blueberries,DRYPINTX12,.,.,.,ALP,Open,1,144,5/1/2025 0:00,5/3/2025 0:00,17,1530,1
2024419,861959,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,18OZX12,OR,.,.,HIP,Open,,400,4/29/2025 0:00,4/30/2025 0:00,14,1921,4
2024419,861958,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,432,4/29/2025 0:00,4/30/2025 0:00,14,1921,3
2024420,861961,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,600,4/29/2025 0:00,4/30/2025 0:00,27,1991,6
2024420,861960,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,DRYPINTX12,.,SEKO,.,ALP,Open,,576,4/29/2025 0:00,4/30/2025 0:00,27,1991,4
2024421,861962,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET,Blueberries,18OZX12,OR,.,.,HIP,Open,,600,4/29/2025 0:00,4/30/2025 0:00,14,1922,6
2024421,861963,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,288,4/29/2025 0:00,4/30/2025 0:00,14,1922,2
2024422,861964,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,200,4/29/2025 0:00,4/30/2025 0:00,29,1921,2
2024422,861965,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,DRYPINTX12,.,SEKO,.,ALP,Open,,576,4/29/2025 0:00,4/30/2025 0:00,29,1921,4
2024423,861967,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,18OZX12,OR,.,.,HIP,Open,,200,4/29/2025 0:00,4/30/2025 0:00,14,1991,2
2024423,861966,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,432,4/29/2025 0:00,4/30/2025 0:00,14,1991,3
2024424,861968,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,18OZX12,OR,.,.,HIP,Open,,300,4/30/2025 0:00,5/2/2025 0:00,77,1991,3
2024424,861969,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,DRYPINTX12,OR,.,.,HIP,Open,,432,4/30/2025 0:00,5/2/2025 0:00,77,1991,3
2024425,861971,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,600,4/30/2025 0:00,5/2/2025 0:00,77,1991,6
2024425,861970,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET VIRGINIA,Blueberries,DRYPINTX12,.,SEKO,.,ALP,Open,,864,4/30/2025 0:00,5/2/2025 0:00,77,1991,6
2024426,862357,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,500,4/30/2025 0:00,5/2/2025 0:00,77,1922,5
2024426,862358,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET,Blueberries,DRYPINTX12,.,SEKO,.,ALP,Open,,1008,4/30/2025 0:00,5/2/2025 0:00,77,1922,7
2024427,862360,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,18OZX12,.,SEKO,.,ALP,Open,,500,4/30/2025 0:00,5/2/2025 0:00,77,1921,5
2024427,862359,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET HOME OFFICE,Blueberries,DRYPINTX12,.,SEKO,.,ALP,Open,,576,4/30/2025 0:00,5/2/2025 0:00,77,1921,4
2024428,862362,WEGMAN,WEGMANS FOOD MARKET HOME OFFICE,WEGMANS FOOD MARKET,Blueberries,18OZX12,OR,.,.,HIP,Open,,500,4/30/2025 0:00,5/2/2025 0:00,77,1922,5
